geom,country_code,code,name,fishing_port,landing_place,commercial_port,enabled
SRID=4326;MULTIPOINT(13.234 -8.838),AGO,AOLAD,Luanda,Y,"","",Y
SRID=4326;MULTIPOINT(13.533 -12.367),AGO,AOLOB,Lobito,Y,"","",Y
SRID=4326;MULTIPOINT(12.158 -15.195),AGO,AOMSZ,Namibe,Y,"","",Y
SRID=4326;MULTIPOINT(-59.167 -33.683),ARG,ARSPD,San Pedro,Y,"","",Y
SRID=4326;MULTIPOINT(-170.701 -14.279),ASM,ASPPG,Pago Pago,Y,"","",Y
SRID=4326;MULTIPOINT(115.707 -32.056),AUS,AUFRE,Fremantle,Y,"","",Y
SRID=4326;MULTIPOINT(4.417 51.217),BEL,BEANR,Antwerpen,Y,"",Y,Y
SRID=4326;MULTIPOINT(3.133 51.317),BEL,BEBBG,Blankenberge,Y,"","",Y
SRID=4326;MULTIPOINT(3.717 51.25),BEL,BEBHE,Boekhoute,Y,"","",Y
SRID=4326;MULTIPOINT(4.167 51.283),BEL,BEKDE,Kieldrecht,Y,"","",Y
SRID=4326;MULTIPOINT(2.75 51.133),BEL,BENIE,Nieuwpoort,Y,"",Y,Y
SRID=4326;MULTIPOINT(2.917 51.217),BEL,BEOST,Oostende (Ostend),Y,"",Y,Y
SRID=4326;MULTIPOINT(3.2 51.333),BEL,BEZEE,Zeebrugge,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.933 43.129),BGR,BGADB,Ada Bahcha,Y,"","",Y
SRID=4326;MULTIPOINT(27.652 42.637),BGR,BGAHE,Aheloy,Y,"","",Y
SRID=4326;MULTIPOINT(27.933 42.101),BGR,BGAKH,Akhtopol,Y,"",Y,Y
SRID=4326;MULTIPOINT(28.099 43.378),BGR,BGALB,Albena,Y,"","",Y
SRID=4326;MULTIPOINT(27.841 43.186),BGR,BGAMO,Amonal,Y,"","",Y
SRID=4326;MULTIPOINT(27.895 43.196),BGR,BGANT,Anton Ivanov,Y,"","",Y
SRID=4326;MULTIPOINT(27.733 42.336),BGR,BGARK,Arkutino,Y,"","",Y
SRID=4326;MULTIPOINT(27.9 43.184),BGR,BGASP,Asparuhovo Keya,Y,"","",Y
SRID=4326;MULTIPOINT(28.167 43.4),BGR,BGBAL,Balchik,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.895 43.197),BGR,BGBHZ,Buhta zapad,Y,"","",Y
SRID=4326;MULTIPOINT(27.698 43.198),BGR,BGBLV,Beloslav,Y,"","",Y
SRID=4326;MULTIPOINT(27.94 43.208),BGR,BGBN2,Buna 102,Y,"","",Y
SRID=4326;MULTIPOINT(27.949 43.21),BGR,BGBN3,Buna 103,Y,"","",Y
SRID=4326;MULTIPOINT(27.933 43.205),BGR,BGBNA,Buna 101,Y,"","",Y
SRID=4326;MULTIPOINT(27.45 42.483),BGR,BGBOJ,Burgas,Y,"",Y,Y
SRID=4326;MULTIPOINT(28.471 43.382),BGR,BGBOL,Bolata,Y,"","",Y
SRID=4326;MULTIPOINT(27.896 42.853),BGR,BGBYL,Byala,Y,"","",Y
SRID=4326;MULTIPOINT(27.841 43.186),BGR,BGCHA,Chayka,Y,"","",Y
SRID=4326;MULTIPOINT(27.64 42.449),BGR,BGCHM,Chernomorets,Y,"","",Y
SRID=4326;MULTIPOINT(27.874 43.209),BGR,BGCHN,Cherno more,Y,"","",Y
SRID=4326;MULTIPOINT(27.539 42.456),BGR,BGCHO,Chukalya,Y,"","",Y
SRID=4326;MULTIPOINT(28.389 43.404),BGR,BGDAL,Dalboka,Y,"","",Y
SRID=4326;MULTIPOINT(28.573 43.589),BGR,BGEZE,Ezerets,Y,"","",Y
SRID=4326;MULTIPOINT(27.777 43.197),BGR,BGEZR,Ezerovo,Y,"","",Y
SRID=4326;MULTIPOINT(28.058 43.313),BGR,BGFRE,Frenkliman,Y,"","",Y
SRID=4326;MULTIPOINT(27.894 42.742),BGR,BGIRA,Irakli,Y,"","",Y
SRID=4326;MULTIPOINT(27.888 43.033),BGR,BGKAM,Kamchia,Y,"","",Y
SRID=4326;MULTIPOINT(28.35 43.411),BGR,BGKB3,Kavarna Buna 3,Y,"","",Y
SRID=4326;MULTIPOINT(28.357 43.411),BGR,BGKBA,Kavarna Buna 1,Y,"","",Y
SRID=4326;MULTIPOINT(27.781 42.234),BGR,BGKIT,Kiten,Y,"","",Y
SRID=4326;MULTIPOINT(28.029 43.249),BGR,BGKOK,Kokodiva,Y,"","",Y
SRID=4326;MULTIPOINT(27.767 43.187),BGR,BGKON,Konstantinovo,Y,"","",Y
SRID=4326;MULTIPOINT(28.069 43.327),BGR,BGKRA,Kranevo,Y,"","",Y
SRID=4326;MULTIPOINT(27.491 42.447),BGR,BGKRE,Kraymorie,Y,"","",Y
SRID=4326;MULTIPOINT(28.573 43.623),BGR,BGKRP,Krapets,Y,"","",Y
SRID=4326;MULTIPOINT(27.917 43.174),BGR,BGKRT,Karantinata,Y,"","",Y
SRID=4326;MULTIPOINT(28.359 43.411),BGR,BGKVN,Kavarna,Y,"","",Y
SRID=4326;MULTIPOINT(27.818 43.196),BGR,BGKZO,Kazashko,Y,"","",Y
SRID=4326;MULTIPOINT(27.799 43.202),BGR,BGLES,Lesport,Y,"","",Y
SRID=4326;MULTIPOINT(27.813 42.209),BGR,BGLZC,Lozenets,Y,"","",Y
SRID=4326;MULTIPOINT(27.874 43.196),BGR,BGMCH,Malka Chayka,Y,"","",Y
SRID=4326;MULTIPOINT(27.694 43.199),BGR,BGMEC,Mecheto,Y,"","",Y
SRID=4326;MULTIPOINT(27.717 42.65),BGR,BGNES,Nessebar,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.888 42.809),BGR,BGOBZ,Obzor,Y,"","",Y
SRID=4326;MULTIPOINT(27.527 42.437),BGR,BGOTM,Otmanli,Y,"","",Y
SRID=4326;MULTIPOINT(28.054 43.303),BGR,BGPAN,Panorama,Y,"","",Y
SRID=4326;MULTIPOINT(27.639 42.551),BGR,BGPOR,Pomorie,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.758 42.264),BGR,BGPRI,Primorsko,Y,"","",Y
SRID=4326;MULTIPOINT(27.673 42.637),BGR,BGRAV,Ravda,Y,"","",Y
SRID=4326;MULTIPOINT(27.894 43.196),BGR,BGRD2,Rodopa 2,Y,"","",Y
SRID=4326;MULTIPOINT(27.895 43.197),BGR,BGRDA,Rodopa 1,Y,"","",Y
SRID=4326;MULTIPOINT(28.028 41.983),BGR,BGREZ,Rezovo,Y,"","",Y
SRID=4326;MULTIPOINT(28.525 43.421),BGR,BGRUS,Rusalka,Y,"","",Y
SRID=4326;MULTIPOINT(27.518 42.554),BGR,BGSAR,Sarafovo,Y,"","",Y
SRID=4326;MULTIPOINT(28.243 43.405),BGR,BGSBA,SBA,Y,"","",Y
SRID=4326;MULTIPOINT(27.903 43.185),BGR,BGSEK,Sever Eksport,Y,"","",Y
SRID=4326;MULTIPOINT(28.607 43.541),BGR,BGSHA,Shabla,Y,"","",Y
SRID=4326;MULTIPOINT(27.898 42.958),BGR,BGSHK,Shkorpilovtsi,Y,"","",Y
SRID=4326;MULTIPOINT(27.992 42.061),BGR,BGSIN,Sinemorets,Y,"","",Y
SRID=4326;MULTIPOINT(27.799 43.186),BGR,BGSLK,Slivkata,Y,"","",Y
SRID=4326;MULTIPOINT(27.683 42.417),BGR,BGSOZ,Sozopol,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.74 43.197),BGR,BGSTR,Strashimirovo,Y,"","",Y
SRID=4326;MULTIPOINT(27.766 42.706),BGR,BGSVV,Sveti Vlas,Y,"","",Y
SRID=4326;MULTIPOINT(27.98 43.218),BGR,BGTRK,Trakata,Y,"","",Y
SRID=4326;MULTIPOINT(27.85 42.167),BGR,BGTRV,Tsarevo,Y,"","",Y
SRID=4326;MULTIPOINT(28.216 43.399),BGR,BGTUZ,Tuzlata,Y,"","",Y
SRID=4326;MULTIPOINT(28.586 43.495),BGR,BGTYL,Tyulenovo,Y,"","",Y
SRID=4326;MULTIPOINT(27.9 43.183),BGR,BGVAR,Varna,Y,"",Y,Y
SRID=4326;MULTIPOINT(27.914 43.19),BGR,BGVAZ,Varna-Zapad,Y,"","",Y
SRID=4326;MULTIPOINT(27.862 43.192),BGR,BGVES,Veslets,Y,"","",Y
SRID=4326;MULTIPOINT(27.911 42.12),BGR,BGVRV,Varvara,Y,"","",Y
SRID=4326;MULTIPOINT(27.896 43.195),BGR,BGYVA,Yahtklub Varna,Y,"","",Y
SRID=4326;MULTIPOINT(28.434 43.384),BGR,BGZEL,Zelenka,Y,"","",Y
SRID=4326;MULTIPOINT(27.804 43.184),BGR,BGZVE,Zvezditsa,Y,"","",Y
SRID=4326;MULTIPOINT(2.433 6.367),BEN,BJCOO,Cotonou,Y,"","",Y
SRID=4326;MULTIPOINT(-37.072 -10.945),BRA,BRAJU,Aracaju,Y,"","",Y
SRID=4326;MULTIPOINT(-34.834 -6.966),BRA,BRCDO,Cabedelo,Y,"","",Y
SRID=4326;MULTIPOINT(-48.671 -26.909),BRA,BRITJ,Itajai,Y,"","",Y
SRID=4326;MULTIPOINT(-35.201 -5.779),BRA,BRNAT,Natal,Y,"","",Y
SRID=4326;MULTIPOINT(-40.067 -19.829),BRA,BRPCL,Portocel,Y,"","",Y
SRID=4326;MULTIPOINT(-43.173 -22.907),BRA,BRRIO,Rio de Janeiro,Y,"","",Y
SRID=4326;MULTIPOINT(-46.325 -23.968),BRA,BRSSZ,Santos,Y,"","",Y
