geom,north,south,east,west,code,name,enabled
"SRID=4326;MULTIPOLYGON (((-19.9999999999999010 16.0000000000000990, -19.9999999999999010 16.5000000000000990, -19.4999999999999010 16.5000000000000990, -19.4999999999999010 16.0000000000000990, -19.9999999999999010 16.0000000000000990)))",16.5,16.0,19.5,20.0,16V4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.4999999999999010 16.0000000000000990, -19.4999999999999010 16.5000000000000990, -18.9999999999999010 16.5000000000000990, -18.9999999999999010 16.0000000000000990, -19.4999999999999010 16.0000000000000990)))",16.5,16.0,19.0,19.5,16V3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.9999999999999010 16.0000000000000990, -18.9999999999999010 16.5000000000000990, -18.4999999999999010 16.5000000000000990, -18.4999999999999010 16.0000000000000990, -18.9999999999999010 16.0000000000000990)))",16.5,16.0,18.5,19.0,16U4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-18.4999999999999010 16.0000000000000990, -18.4999999999999010 16.5000000000000990, -17.9999999999999010 16.5000000000000990, -17.9999999999999010 16.0000000000000990, -18.4999999999999010 16.0000000000000990)))",16.5,16.0,18.0,18.5,16U3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.9999999999999010 16.0000000000000990, -17.9999999999999010 16.5000000000000990, -17.4999999999999010 16.5000000000000990, -17.4999999999999010 16.0000000000000990, -17.9999999999999010 16.0000000000000990)))",16.5,16.0,17.5,18.0,16T4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-17.4999999999999010 16.0000000000000990, -17.4999999999999010 16.5000000000000990, -16.9999999999999010 16.5000000000000990, -16.9999999999999010 16.0000000000000990, -17.4999999999999010 16.0000000000000990)))",16.5,16.0,17.0,17.5,16T3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.9999999999999010 16.0000000000000990, -16.9999999999999010 16.5000000000000990, -16.4999999999999010 16.5000000000000990, -16.4999999999999010 16.0000000000000990, -16.9999999999999010 16.0000000000000990)))",16.5,16.0,16.5,17.0,16S4,MRT,Y
"SRID=4326;MULTIPOLYGON (((-16.4999999999999010 16.0000000000000990, -16.4999999999999010 16.5000000000000990, -15.9999999999999010 16.5000000000000990, -15.9999999999999010 16.0000000000000990, -16.4999999999999010 16.0000000000000990)))",16.5,16.0,16.0,16.5,16S3,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.9999999999999010 16.5000000000000990, -19.9999999999999010 17.0000000000000990, -19.4946289059999000 17.0000000000000990, -19.4946289059999000 16.5000000000000990, -19.9999999999999010 16.5000000000000990)))",17.0,16.5,19.5,20.0,16V1,MRT,Y
"SRID=4326;MULTIPOLYGON (((-19.4999999999999010 16.5000000000000990, -19.4999999999999010 17.0000000000000990, -18.9999999999999010 17.0000000000000990, -18.9999999999999010 16.5000000000000990, -19.4999999999999010 16.5000000000000990)))",17.0,16.5,19.0,19.5,16V2,MRT,Y
