geom,north,south,east,west,code,name,enabled
"SRID=4326;MULTIPOLYGON(((-19.9999999999999 16.0000000000001,-19.9999999999999 16.5000000000001,-19.4999999999999 16.5000000000001,-19.4999999999999 16.0000000000001,-19.9999999999999 16.0000000000001)))",16.5,16,19.5,20,16V4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-19.4999999999999 16.0000000000001,-19.4999999999999 16.5000000000001,-18.9999999999999 16.5000000000001,-18.9999999999999 16.0000000000001,-19.4999999999999 16.0000000000001)))",16.5,16,19,19.5,16V3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.9999999999999 16.0000000000001,-18.9999999999999 16.5000000000001,-18.4999999999999 16.5000000000001,-18.4999999999999 16.0000000000001,-18.9999999999999 16.0000000000001)))",16.5,16,18.5,19,16U4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.4999999999999 16.0000000000001,-18.4999999999999 16.5000000000001,-17.9999999999999 16.5000000000001,-17.9999999999999 16.0000000000001,-18.4999999999999 16.0000000000001)))",16.5,16,18,18.5,16U3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-17.9999999999999 16.0000000000001,-17.9999999999999 16.5000000000001,-17.4999999999999 16.5000000000001,-17.4999999999999 16.0000000000001,-17.9999999999999 16.0000000000001)))",16.5,16,17.5,18,16T4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-17.4999999999999 16.0000000000001,-17.4999999999999 16.5000000000001,-16.9999999999999 16.5000000000001,-16.9999999999999 16.0000000000001,-17.4999999999999 16.0000000000001)))",16.5,16,17,17.5,16T3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-16.9999999999999 16.0000000000001,-16.9999999999999 16.5000000000001,-16.4999999999999 16.5000000000001,-16.4999999999999 16.0000000000001,-16.9999999999999 16.0000000000001)))",16.5,16,16.5,17,16S4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-16.4999999999999 16.0000000000001,-16.4999999999999 16.5000000000001,-15.9999999999999 16.5000000000001,-15.9999999999999 16.0000000000001,-16.4999999999999 16.0000000000001)))",16.5,16,16,16.5,16S3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-19.9999999999999 16.5000000000001,-19.9999999999999 17.0000000000001,-19.4946289059999 17.0000000000001,-19.4946289059999 16.5000000000001,-19.9999999999999 16.5000000000001)))",17,16.5,19.5,20,16V1,MRT,Y
"SRID=4326;MULTIPOLYGON(((-19.4999999999999 16.5000000000001,-19.4999999999999 17.0000000000001,-18.9999999999999 17.0000000000001,-18.9999999999999 16.5000000000001,-19.4999999999999 16.5000000000001)))",17,16.5,19,19.5,16V2,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.9999999999999 16.5000000000001,-18.9999999999999 17.0000000000001,-18.4999999999999 17.0000000000001,-18.4999999999999 16.5000000000001,-18.9999999999999 16.5000000000001)))",17,16.5,18.5,19,16U1,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.4999999999999 16.5000000000001,-18.4999999999999 17.0000000000001,-17.9999999999999 17.0000000000001,-17.9999999999999 16.5000000000001,-18.4999999999999 16.5000000000001)))",17,16.5,18,18.5,16U2,MRT,Y
"SRID=4326;MULTIPOLYGON(((-17.9999999999999 16.5000000000001,-17.9999999999999 17.0000000000001,-17.4999999999999 17.0000000000001,-17.4999999999999 16.5000000000001,-17.9999999999999 16.5000000000001)))",17,16.5,17.5,18,16T1,MRT,Y
"SRID=4326;MULTIPOLYGON(((-17.4999999999999 16.5000000000001,-17.4999999999999 17.0000000000001,-16.9999999999999 17.0000000000001,-16.9999999999999 16.5000000000001,-17.4999999999999 16.5000000000001)))",17,16.5,17,17.5,16T2,MRT,Y
"SRID=4326;MULTIPOLYGON(((-16.9999999999999 16.5000000000001,-16.9999999999999 17.0000000000001,-16.4999999999999 17.0000000000001,-16.4999999999999 16.5000000000001,-16.9999999999999 16.5000000000001)))",17,16.5,16.5,17,16S1,MRT,Y
"SRID=4326;MULTIPOLYGON(((-16.4999999999999 16.5000000000001,-16.4999999999999 17.0000000000001,-15.9999999999999 17.0000000000001,-15.9999999999999 16.5000000000001,-16.4999999999999 16.5000000000001)))",17,16.5,16,16.5,16S2,MRT,Y
"SRID=4326;MULTIPOLYGON(((-19.9999999999999 17.0000000000001,-19.9999999999999 17.5000000000001,-19.4999999999999 17.5000000000001,-19.4999999999999 17.0000000000001,-19.9999999999999 17.0000000000001)))",17.5,17,19.5,20,17V4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-19.4999999999999 17.0000000000001,-19.4999999999999 17.5000000000001,-18.9999999999999 17.5000000000001,-18.9999999999999 17.0000000000001,-19.4999999999999 17.0000000000001)))",17.5,17,19,19.5,17V3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.9999999999999 17.0000000000001,-18.9999999999999 17.5000000000001,-18.4999999999999 17.5000000000001,-18.4999999999999 17.0000000000001,-18.9999999999999 17.0000000000001)))",17.5,17,18.5,19,17U4,MRT,Y
"SRID=4326;MULTIPOLYGON(((-18.4999999999999 17.0000000000001,-18.4999999999999 17.5000000000001,-17.9999999999999 17.5000000000001,-17.9999999999999 17.0000000000001,-18.4999999999999 17.0000000000001)))",17.5,17,18,18.5,17U3,MRT,Y
"SRID=4326;MULTIPOLYGON(((-17.9999999999999 17.0000000000001,-17.9999999999999 17.5000000000001,-17.4999999999999 17.5000000000001,-17.4999999999999 17.0000000000001,-17.9999999999999 17.0000000000001)))",17.5,17,17.5,18,17T4,MRT,Y
